x, y, z

510, 521, 715

510, 521, 715

510, 521, 715

502, 520, 715

502, 520, 715

502, 520, 717

502, 520, 717

502, 520, 717

510, 521, 715

510, 521, 715

499, 522, 716

499, 522, 716

508, 519, 714

508, 519, 714

502, 520, 715

502, 520, 715

510, 524, 713

510, 524, 713

501, 519, 714

501, 519, 714

506, 522, 716

506, 522, 716

506, 522, 714

506, 522, 714

507, 521, 714

507, 521, 714

503, 521, 714

503, 521, 714

507, 521, 714

507, 521, 714

505, 521, 714

505, 521, 714

505, 520, 716

505, 520, 716

505, 520, 716

504, 523, 716

504, 523, 716

511, 518, 714

511, 518, 714

501, 520, 715

501, 520, 715

501, 520, 715

505, 522, 712

505, 522, 712

505, 522, 712

507, 521, 716

507, 521, 716

503, 521, 714

503, 521, 714

503, 521, 714

507, 521, 715

507, 521, 715

507, 521, 715

506, 521, 715

506, 521, 715

504, 522, 714

504, 522, 714

507, 521, 714

507, 521, 714

504, 521, 714

504, 521, 714

506, 521, 714

506, 521, 714

508, 521, 715

508, 521, 715

503, 521, 713

503, 521, 713

506, 521, 715

506, 521, 715

505, 521, 715

505, 521, 715

508, 521, 714

508, 521, 714

504, 520, 714

504, 520, 714

507, 522, 715

507, 522, 715

504, 521, 714

504, 521, 714

507, 521, 715

507, 521, 715

506, 521, 714

506, 521, 714

506, 521, 714

505, 520, 713

505, 520, 713

505, 520, 713

504, 522, 716

504, 522, 716

504, 522, 716

504, 520, 714

504, 520, 714

504, 520, 714

505, 522, 714

505, 522, 714

505, 522, 714

506, 523, 716

506, 523, 716

504, 520, 717

504, 520, 717

508, 523, 713

508, 523, 713

503, 521, 714

503, 521, 714

506, 521, 715

506, 521, 715

505, 521, 715

505, 521, 715

502, 522, 714

502, 522, 714

505, 521, 715

505, 521, 715

510, 520, 715

510, 520, 715

502, 520, 712

502, 520, 712

507, 523, 716

507, 523, 716

504, 522, 715

504, 522, 715

505, 521, 714

505, 521, 714

510, 521, 714

510, 521, 714

505, 522, 716

505, 522, 716

505, 522, 713

505, 522, 713

505, 522, 713

507, 521, 716

507, 521, 716

507, 521, 716

509, 521, 713

509, 521, 713

509, 521, 713

504, 521, 714

504, 521, 714

504, 521, 714

508, 521, 714

508, 521, 714

508, 521, 714

507, 522, 714

507, 522, 714

505, 521, 715

505, 521, 715

507, 521, 713

507, 521, 713

508, 521, 714

508, 521, 714

506, 521, 715

506, 521, 715

508, 521, 715

508, 521, 715

509, 521, 715

509, 521, 715

508, 522, 714

508, 522, 714

507, 521, 713

507, 521, 713

507, 522, 715

507, 522, 715

507, 520, 716

507, 520, 716

508, 521, 714

508, 521, 714

507, 521, 715

507, 521, 715

507, 521, 715

507, 521, 715

508, 522, 715

508, 522, 715

508, 522, 715

506, 520, 714

506, 520, 714

506, 520, 714

508, 521, 715

508, 521, 715

506, 522, 714

506, 522, 714

506, 522, 714

505, 522, 714

505, 522, 714

505, 522, 714

510, 520, 715

510, 520, 715

510, 520, 715

509, 522, 715

509, 522, 715

508, 522, 715

508, 522, 715

508, 522, 715

504, 521, 713

504, 521, 713

511, 521, 714

511, 521, 714

503, 523, 715

503, 523, 715

510, 520, 714

510, 520, 714

507, 522, 715

507, 522, 715

504, 523, 715

504, 523, 715

509, 521, 714

509, 521, 714

506, 522, 715

506, 522, 715

507, 522, 714

507, 522, 714

507, 521, 715

507, 521, 715

506, 522, 714

506, 522, 714

507, 520, 714

507, 520, 714

507, 522, 715

507, 522, 715

506, 522, 713

506, 522, 713

506, 521, 715

506, 521, 715

506, 521, 715

507, 521, 714

507, 521, 714

507, 521, 714

507, 521, 715

507, 521, 715

507, 521, 715

507, 522, 715

507, 522, 715

507, 522, 715

506, 522, 714

506, 522, 714

506, 522, 714

507, 522, 714

507, 522, 714

507, 522, 714

506, 522, 714

506, 522, 714

508, 521, 715

508, 521, 715

507, 521, 714

507, 521, 714

504, 523, 715

504, 523, 715

507, 520, 715

507, 520, 715

507, 523, 715

507, 523, 715

506, 521, 714

506, 521, 714

505, 521, 714

505, 521, 714

507, 523, 714

507, 523, 714

506, 521, 714

506, 521, 714

507, 521, 713

507, 521, 713

504, 522, 715

504, 522, 715

null
508, 522, 715

508, 522, 715

508, 520, 715

508, 520, 715

507, 523, 716

507, 523, 716

507, 523, 716

505, 520, 711

505, 520, 711

505, 520, 711

505, 521, 715

505, 521, 715

505, 521, 715

506, 521, 715

506, 521, 715

506, 521, 715

508, 521, 715

508, 521, 715

508, 521, 715

505, 520, 714

505, 520, 714

505, 522, 715

505, 522, 715

507, 521, 714

507, 521, 714

505, 521, 715

505, 521, 715

506, 521, 715

506, 521, 715

508, 522, 715

508, 522, 715

505, 522, 714

505, 522, 714

507, 521, 714

507, 521, 714

506, 520, 714

506, 520, 714

507, 522, 715

507, 522, 715

505, 521, 715

505, 521, 715

507, 521, 715

507, 521, 715

507, 522, 714

507, 522, 714

505, 519, 714

505, 519, 714

504, 522, 715

504, 522, 715

504, 522, 715

508, 521, 715

508, 521, 715

508, 521, 715

504, 520, 715

504, 520, 715

506, 521, 712

506, 521, 712

506, 521, 712

508, 521, 714

508, 521, 714

508, 521, 714

506, 523, 715

506, 523, 715

506, 523, 715

502, 519, 706

502, 519, 706

527, 531, 758

527, 531, 758

527, 531, 758

477, 511, 708

477, 511, 708

533, 501, 708

533, 501, 708

493, 512, 704

493, 512, 704

508, 512, 717

508, 512, 717

516, 524, 718

516, 524, 718

469, 527, 674

469, 527, 674

472, 523, 704

472, 523, 704

490, 531, 729

490, 531, 729

483, 520, 714

483, 520, 714

496, 520, 711

496, 520, 711

482, 540, 721

482, 540, 721

452, 525, 688

452, 525, 688

474, 538, 728

474, 538, 728

474, 538, 728

481, 525, 713

481, 525, 713

497, 524, 708

497, 524, 708

497, 524, 708

486, 525, 719

486, 525, 719

486, 525, 719

482, 526, 712

482, 526, 712

482, 526, 712

465, 541, 726

465, 541, 726

489, 525, 705

489, 525, 705

489, 525, 705

465, 529, 711

465, 529, 711

465, 529, 711

479, 530, 714

479, 530, 714

479, 531, 715

479, 531, 715

479, 531, 715

481, 530, 714

481, 530, 714

488, 527, 713

488, 527, 713

478, 530, 715

478, 530, 715

473, 532, 713

473, 532, 713

479, 528, 710

479, 528, 710

476, 531, 715

476, 531, 715

475, 529, 711

475, 529, 711

478, 530, 714

478, 530, 714

476, 528, 714

476, 528, 714

478, 529, 713

478, 529, 713

476, 530, 713

476, 530, 713

477, 529, 713

477, 529, 713

476, 529, 713

476, 529, 713

476, 529, 713

480, 530, 713

480, 530, 713

475, 527, 713

475, 527, 713

475, 527, 713

477, 529, 713

477, 529, 713

477, 529, 713

478, 528, 714

478, 528, 714

478, 528, 714

478, 530, 711

478, 530, 711

477, 529, 720

477, 529, 720

477, 527, 707

477, 527, 707

477, 527, 707

479, 529, 714

479, 529, 714

480, 527, 713

480, 527, 713

475, 530, 716

475, 530, 716

481, 527, 713

481, 527, 713

476, 529, 714

476, 529, 714

475, 530, 712

475, 530, 712

485, 526, 719

485, 526, 719

471, 529, 709

471, 529, 709

481, 530, 713

481, 530, 713

478, 529, 717

478, 529, 717

479, 527, 711

479, 527, 711

477, 528, 711

477, 528, 711

482, 530, 716

482, 530, 716

473, 530, 714

473, 530, 714

480, 529, 712

480, 529, 712

480, 529, 712

477, 530, 714

477, 530, 714

477, 530, 714

476, 529, 715

476, 529, 715

476, 529, 715

482, 529, 711

482, 529, 711

474, 530, 715

474, 530, 715

474, 530, 715

480, 528, 711

480, 528, 711

475, 532, 716

475, 532, 716

482, 526, 711

482, 526, 711

475, 530, 714

475, 530, 714

481, 529, 713

481, 529, 713

477, 529, 715

477, 529, 715

478, 528, 712

478, 528, 712

478, 529, 714

478, 529, 714

479, 528, 713

479, 528, 713

477, 528, 714

477, 528, 714

479, 529, 712

479, 529, 712

477, 529, 715

477, 529, 715

479, 528, 713

479, 528, 713

479, 528, 713

478, 527, 713

478, 527, 713

477, 530, 714

477, 530, 714

480, 528, 713

480, 528, 713

480, 528, 713

476, 530, 714

476, 530, 714

476, 530, 714

481, 529, 713

481, 529, 713

476, 527, 712

476, 527, 712

476, 527, 712

477, 530, 715

477, 530, 715

477, 530, 715

480, 528, 714

480, 528, 714

477, 527, 711

477, 527, 711

479, 530, 715

479, 530, 715

479, 528, 715

479, 528, 715

475, 527, 713

475, 527, 713

479, 528, 712

479, 528, 712

477, 530, 714

477, 530, 714

479, 528, 714

479, 528, 714

477, 528, 712

477, 528, 712

478, 529, 715

478, 529, 715

477, 529, 713

477, 529, 713

478, 529, 714

478, 529, 714

478, 528, 713

478, 528, 713

479, 529, 714

479, 529, 714

476, 528, 713

476, 528, 713

476, 528, 713

479, 529, 713

479, 529, 713

479, 529, 713

476, 528, 713

476, 528, 713

476, 528, 713

477, 529, 715

477, 529, 715

477, 529, 715

482, 529, 713

482, 529, 713

482, 529, 713

475, 528, 712

475, 528, 712

479, 528, 713

479, 528, 713

478, 529, 713

478, 529, 713

474, 530, 711

474, 530, 711

481, 531, 719

481, 531, 719

475, 527, 709

475, 527, 709

479, 530, 713

479, 530, 713

478, 528, 707

478, 528, 707

475, 529, 715

475, 529, 715

475, 534, 720

475, 534, 720

477, 528, 719

477, 528, 719

498, 517, 705

498, 517, 705

509, 512, 704

509, 512, 704

490, 514, 714

490, 514, 714

500, 509, 722

500, 509, 722

497, 509, 718

497, 509, 718

497, 509, 718

489, 511, 711

489, 511, 711

489, 511, 711

494, 508, 714

494, 508, 714

494, 508, 714

491, 503, 721

491, 503, 721

491, 503, 721

484, 498, 713

484, 498, 713

484, 498, 713

495, 492, 707

495, 492, 707

505, 492, 710

505, 492, 710

501, 496, 714

501, 496, 714

493, 496, 713

493, 496, 713

495, 496, 716

495, 496, 716

494, 494, 712

494, 494, 712

497, 498, 714

497, 498, 714

494, 500, 715

494, 500, 715

495, 499, 709

495, 499, 709

493, 504, 713

493, 504, 713

500, 508, 739

500, 508, 739

490, 506, 707

490, 506, 707

496, 506, 712

496, 506, 712

496, 507, 718

496, 507, 718

494, 506, 714

494, 506, 714

494, 506, 714

494, 508, 714

494, 508, 714

494, 508, 714

498, 506, 717

498, 506, 717

498, 507, 714

498, 507, 714

498, 507, 714

492, 509, 712

492, 509, 712

492, 509, 712

495, 506, 717

495, 506, 717

499, 509, 715

499, 509, 715

493, 508, 715

493, 508, 715

493, 508, 715

493, 510, 712

493, 510, 712

502, 507, 714

502, 507, 714

501, 506, 714

501, 506, 714

493, 507, 717

493, 507, 717

500, 511, 713

500, 511, 713

502, 507, 716

502, 507, 716

497, 510, 716

497, 510, 716

502, 510, 714

502, 510, 714

503, 508, 714

503, 508, 714

504, 507, 716

504, 507, 716

503, 510, 717

503, 510, 717

504, 509, 713

504, 509, 713

506, 510, 715

506, 510, 715

506, 510, 715

502, 508, 713

502, 508, 713

507, 510, 714

507, 510, 714

507, 510, 714

508, 511, 713

508, 511, 713

508, 511, 713

506, 509, 715

506, 509, 715

506, 509, 715

505, 508, 716

505, 508, 716

505, 508, 716

510, 511, 717

510, 511, 717

510, 511, 717

508, 510, 712

508, 510, 712

503, 510, 712

503, 510, 712

507, 509, 717

507, 509, 717

511, 511, 716

511, 511, 716

508, 511, 715

508, 511, 715

506, 508, 714

506, 508, 714

510, 510, 714

510, 510, 714

506, 510, 712

506, 510, 712

505, 513, 715

505, 513, 715

504, 509, 715

504, 509, 715

509, 511, 715

509, 511, 715

507, 509, 716

507, 509, 716

507, 510, 715

507, 510, 715

507, 510, 715

509, 511, 715

509, 511, 715

507, 510, 711

507, 510, 711

500, 511, 715

500, 511, 715

500, 511, 715

507, 508, 716

507, 508, 716

511, 511, 714

511, 511, 714

509, 509, 716

509, 509, 716

509, 509, 716

504, 513, 716

504, 513, 716

504, 513, 716

508, 508, 713

508, 508, 713

504, 510, 714

504, 510, 714

514, 512, 716

514, 512, 716

503, 509, 712

503, 509, 712

510, 510, 716

510, 510, 716

511, 510, 714

511, 510, 714

507, 508, 714

507, 508, 714

510, 509, 717

510, 509, 717

510, 510, 715

510, 510, 715

507, 507, 714

507, 507, 714

514, 508, 714

514, 508, 714

504, 509, 724

504, 509, 724

512, 507, 705

512, 507, 705

497, 512, 714

497, 512, 714

511, 513, 723

511, 513, 723

511, 513, 723

479, 521, 725

479, 521, 725

479, 521, 725

485, 522, 717

485, 522, 717

503, 512, 709

503, 512, 709

503, 512, 709

498, 521, 714

498, 521, 714

498, 521, 714

486, 518, 713

486, 518, 713

505, 523, 720

505, 523, 720

498, 524, 714

498, 524, 714

498, 524, 714

482, 520, 718

482, 520, 718

516, 517, 712

516, 517, 712

488, 525, 715

488, 525, 715

531, 522, 720

531, 522, 720

515, 516, 710

515, 516, 710

534, 516, 718

534, 516, 718

525, 512, 720

