x, y, z

508, 518, 716

508, 518, 716

506, 519, 712

506, 519, 712

509, 521, 716

509, 521, 716

504, 517, 715

504, 517, 715

507, 520, 713

507, 520, 713

510, 518, 715

510, 518, 715

503, 521, 716

503, 521, 716

510, 519, 714

510, 519, 714

509, 518, 713

509, 518, 713

506, 518, 715

506, 518, 715

504, 520, 715

504, 520, 715

510, 519, 713

510, 519, 713

510, 519, 713

506, 521, 716

506, 521, 716

506, 519, 717

506, 519, 717

506, 519, 717

511, 519, 711

511, 519, 711

511, 519, 711

502, 520, 714

502, 520, 714

502, 520, 714

500, 519, 714

500, 519, 714

515, 522, 716

515, 522, 716

515, 522, 716

505, 520, 716

505, 520, 716

505, 520, 716

506, 516, 709

506, 516, 709

509, 523, 716

509, 523, 716

509, 517, 717

509, 517, 717

506, 519, 715

506, 519, 715

507, 521, 715

507, 521, 715

510, 519, 712

510, 519, 712

498, 519, 712

498, 519, 712

517, 519, 711

517, 519, 711

502, 524, 717

502, 524, 717

510, 513, 716

510, 513, 716

507, 525, 717

507, 525, 717

510, 518, 715

510, 518, 715

null
503, 521, 710

503, 521, 710

508, 519, 714

508, 519, 714

510, 518, 716

510, 518, 716

510, 518, 716

504, 521, 713

504, 521, 713

504, 521, 713

509, 517, 716

509, 517, 716

509, 517, 716

506, 522, 715

506, 522, 715

506, 522, 715

508, 518, 715

508, 518, 715

508, 518, 715

506, 519, 714

506, 519, 714

505, 517, 714

505, 517, 714

511, 521, 713

511, 521, 713

511, 521, 713

503, 517, 713

503, 517, 713

509, 521, 717

509, 521, 717

507, 519, 714

507, 519, 714

507, 519, 714

507, 519, 714

507, 520, 715

507, 520, 715

507, 519, 713

507, 519, 713

506, 520, 715

506, 520, 715

506, 519, 715

506, 519, 715

507, 520, 715

507, 520, 715

509, 519, 716

509, 519, 716

506, 521, 713

506, 521, 713

508, 519, 714

508, 519, 714

505, 520, 715

505, 520, 715

505, 520, 715

509, 519, 716

509, 519, 716

508, 519, 713

508, 519, 713

508, 519, 713

508, 521, 718

508, 521, 718

508, 521, 718

503, 520, 714

503, 520, 714

503, 520, 714

513, 519, 715

513, 519, 715

505, 519, 714

505, 519, 714

505, 519, 714

506, 521, 713

506, 521, 713

508, 519, 714

508, 519, 714

506, 521, 715

506, 521, 715

508, 519, 714

508, 519, 714

505, 521, 714

505, 521, 714

508, 519, 713

508, 519, 713

504, 520, 715

504, 520, 715

509, 520, 712

509, 520, 712

505, 521, 715

505, 521, 715

506, 520, 716

506, 520, 716

507, 520, 714

507, 520, 714

506, 520, 714

506, 520, 714

507, 520, 715

507, 520, 715

507, 520, 715

507, 521, 714

507, 521, 714

507, 521, 714

506, 520, 715

506, 520, 715

506, 520, 713

506, 520, 713

506, 520, 713

507, 520, 715

507, 520, 715

507, 520, 715

505, 520, 715

505, 520, 715

509, 520, 715

